Name	Sex	Birth	Games	Sport	Event	Status	Team	Pos	Medal	Nat
Alejandro Abascal	Male	1952	1980 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Miguel Noguer	1	Gold	Spain
Alejandro Abascal	Male	1952	1984 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Miguel Noguer	11		Spain
Bill Abbott	Male	1954	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Canada	5		Canada
Bill Abbott	Male	1954	2000 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Canada	13		Canada
Sten Abel	Male	1899	1920 Summer Olympics	Sailing	7 metres, Open	Olympic	Fornebo	2	Silver	Norway
Matthias Adamczewski	Male	1958	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	West Germany	15		West Germany
Morgan Adams	Male	1915	1936 Summer Olympics	Sailing	6 metres, Open	Olympic	Mystery	9		United States
Nick Adamson	Male	1969	1996 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		21		United States
Yannick Adde	Male	1969	1992 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Patrick Haegeli	18		France
Danny Adeline	Male	1963	1992 Summer Olympics	Sailing	Windsurfer, Men	Olympic		36		Seychelles
Alan Adler	Male	1964	1984 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Marcus Temke	6		Brazil
Alan Adler	Male	1964	1988 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Marcus Temke	7		Brazil
Alan Adler	Male	1964	1992 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Marcus Temke	13		Brazil
Daniel Adler	Male	1958	1984 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	2	Silver	Brazil
Daniel Adler	Male	1958	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	5		Brazil
Daniel Adler	Male	1958	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	13		Brazil
Adnan Youssef	Male	1968	1984 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Pakistan	20		Pakistan
Valery Afanasyev	Male	1945	1968 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Soviet Union	11		Soviet Union
Henrik Agersborg	Male	1872	1920 Summer Olympics	Sailing	6 metres, Open	Olympic	Stella	3	Bronze	Norway
Mario Aguilar	Male	1925	1968 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Manuel Escobar	30		El Salvador
Luis Aguilar	Male	1936	1964 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Xolotl	15		Mexico
Luis Aguirre	Male	1911	1936 Summer Olympics	Sailing	8 metres, Open	Olympic	Matrero II	7		Argentina
Rolando Aguirre	Male	1904	1924 Summer Olympics	Sailing	8 metres, Open	Olympic	Blue Red	5		Argentina
Arthur Ahnger	Male	1886	1912 Summer Olympics	Sailing	8 metres, Open	Olympic	Lucky Girl	3	Bronze	Finland
Peter Ahrendt	Male	1934	1964 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Mutafo	2	Silver	Germany
Ben Ainslie	Male	1977	1996 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		2	Silver	Great Britain
Ben Ainslie	Male	1977	2000 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		1	Gold	Great Britain
Ben Ainslie	Male	1977	2004 Summer Olympics	Sailing	One Person Dinghy, Men	Olympic		1	Gold	Great Britain
Ben Ainslie	Male	1977	2008 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		1	Gold	Great Britain
Ben Ainslie	Male	1977	2012 Summer Olympics	Sailing	One Person Heavyweight Dinghy, Men	Olympic		1	Gold	Great Britain
Ian Ainslie	Male	1965	1992 Summer Olympics	Sailing	One Person Dinghy, Men	Olympic		18		South Africa
Ian Ainslie	Male	1965	1996 Summer Olympics	Sailing	One Person Dinghy, Men	Olympic		8		South Africa
Ian Ainslie	Male	1965	2000 Summer Olympics	Sailing	One Person Dinghy, Men	Olympic		14		South Africa
Robin Aisher	Male	1934	1960 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Yeoman VII	6		Great Britain
Robin Aisher	Male	1934	1964 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Yeoman XII	11		Great Britain
Robin Aisher	Male	1934	1968 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Great Britain	3	Bronze	Great Britain
Metin Akdurak	Male	1936	1964 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Erdoğan Arsal	20		Turkey
Olle Åkerlund	Male	1911	1932 Summer Olympics	Sailing	6 metres, Open	Olympic	Bissbi	1	Gold	Sweden
Arne Åkerson	Male	1940	1968 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		7		Sweden
Vladyslav Akymenko	Male	1953	1976 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Valentyn Mankin	2	Silver	Soviet Union
Essa Al-Busmait	Male	1956	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Bahrain	22		Bahrain
Khalifa Al-Hitmi	Male	1960	1996 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		49		Qatar
Mohamed Al-Kaabi	Male	1957	1988 Summer Olympics	Sailing	Windsurfer, Open	Olympic		45		Qatar
Talib Salim Al-Maiwali	Male	1951	1984 Summer Olympics	Sailing	Windsurfer, Men	Olympic		37		Oman
Khaled Al-Sada	Male	1967	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Bahrain	22		Bahrain
Mohamed Al-Sada	Male	1957	1996 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		51		Bahrain
Ahmed Al-Saie	Male	1952	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Bahrain	22		Bahrain
Fabio Albarelli	Male	1943	1968 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		3	Bronze	Italy
Fabio Albarelli	Male	1943	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Italy	15		Italy
Auguste Albert	Male		1900 Summer Olympics	Sailing	Open, Open	Olympic	Martha	AC		France
Auguste Albert	Male		1900 Summer Olympics	Sailing	1-2 Ton, Open	Olympic	Martha	2	Silver	France
Auguste Albert	Male		1900 Summer Olympics	Sailing	1-2 Ton, Open	Olympic	Martha	3	Bronze	France
John Albrechtson	Male	1936	1968 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Ulf Norrman	9		Sweden
John Albrechtson	Male	1936	1972 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Ingvar Hansson	4		Sweden
John Albrechtson	Male	1936	1976 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Ingvar Hansson	1	Gold	Sweden
Kenneth Albury	Male	1920	1952 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		14		The Bahamas
Kenneth Albury	Male	1920	1956 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		9		The Bahamas
Kenneth Albury	Male	1920	1960 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		8		The Bahamas
Kenneth Albury	Male	1920	1968 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		28		The Bahamas
Osvaldo Alcaide	Male	1965	1988 Summer Olympics	Sailing	Windsurfer, Open	Olympic		23		Puerto Rico
Peter Aldag	Male	1965	1992 Summer Olympics	Sailing	One Person Dinghy, Men	Olympic		15		Germany
Konstantin Aleksandrov	Male	1920	1952 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Burevestnik	16		Soviet Union
Konstantin Aleksandrov	Male	1920	1956 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Druzhba	8		Soviet Union
Konstantin Aleksandrov	Male	1920	1964 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Druzhba	13		Soviet Union
Konstantin Aleksandrov	Male	1920	1968 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Soviet Union	9		Soviet Union
Vladimir Aleksandrov	Male	1945	1968 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Soviet Union	9		Soviet Union
Lev Alekseyev	Male	1926	1952 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Burevestnik	16		Soviet Union
Lev Alekseyev	Male	1926	1956 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Druzhba	8		Soviet Union
Lev Alekseyev	Male	1926	1964 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Olen	9		Soviet Union
Panagiotis Alevras	Male	1969	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Greece	18		Greece
Stavros Alevras	Male	1970	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Greece	18		Greece
Tim Alexander	Male	1949	1972 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Mark Bethwaite	8		Australia
Tim Alexander	Male	1949	1976 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Mark Bethwaite	9		Australia
Michel Alexandre	Male	1946	1968 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	France	8		France
Ferdinand Alfthan	Male	1892	1912 Summer Olympics	Sailing	12 metres, Open	Olympic	Heatherbell	3	Bronze	Finland
Robleh Ali Adou	Male	1964	1988 Summer Olympics	Sailing	Windsurfer, Open	Olympic		40		Djibouti
Robleh Ali Adou	Male	1964	1992 Summer Olympics	Sailing	Windsurfer, Men	Olympic		39		Djibouti
Robleh Ali Adou	Male	1964	1996 Summer Olympics	Sailing	Windsurfer, Men	Olympic		46		Djibouti
Guido Alkemade	Male	1962	1984 Summer Olympics	Sailing	Two Person Dinghy, Open	Olympic	John Stavenuiter	9		Netherlands
Peter Allam	Male	1959	1984 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Jo Richards	3	Bronze	Great Britain
Peter Allam	Male	1959	1992 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Adrian Stead	15		Great Britain
Scott Allan	Male	1946	1972 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Tim Stearn	23		United States
Henry Allard	Male	1885	1928 Summer Olympics	Sailing	6 metres, Open	Olympic	Cupidon Viking	8		France
Jacques Allard	Male	1925	1952 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Damoiselle	14		France
Hugh Allen	Male		1948 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Alf Delany	13		Ireland
Bill Allen	Male	1947	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	United States	1	Gold	United States
José Luis Allende	Male	1926	1948 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Galerna	9		Spain
Arthur Allers	Male	1875	1920 Summer Olympics	Sailing	12 metres, Open	Olympic	Heira II	1	Gold	Norway
Björn Alm	Male	1961	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Sweden	5		Sweden
Björn Alm	Male	1961	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Sweden	13		Sweden
Mario Almario	Male	1934	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Philippines	26		Philippines
Mario Almario	Male	1934	1976 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		28		Philippines
Mario Almario	Male	1934	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Philippines	24		Philippines
Erland Almkvist	Male	1912	1952 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Tornado	2	Silver	Sweden
Percy Almstedt	Male	1888	1920 Summer Olympics	Sailing	40 metres², Open	Olympic	Elsie	2	Silver	Sweden
Juan Manuel Alonso-Allende	Male	1949	1968 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Juan Manuel Alonso	18		Spain
José María Alonso	Male	1915	1948 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Galerna	9		Spain
Juan Manuel Alonso	Male	1918	1948 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		19		Spain
Juan Manuel Alonso	Male	1918	1960 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Gabriel Laiseca	11		Spain
Juan Manuel Alonso	Male	1918	1968 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Juan Manuel Alonso-Allende	18		Spain
Alp Alpagut	Male	1974	1996 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		40		Turkey
Rodrigo Amado	Male	1976	1996 Summer Olympics	Sailing	Two Person Dinghy, Men	Olympic	Leonardo Santos	29		Brazil
Santiago Amat	Male	1887	1924 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		4		Spain
Santiago Amat	Male	1887	1924 Summer Olympics	Sailing	6 metres, Open	Olympic	Amolgavar	8		Spain
Santiago Amat	Male	1887	1928 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		=14		Spain
Santiago Amat	Male	1887	1932 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		3	Bronze	Spain
Karl-Robert Ameln	Male	1919	1948 Summer Olympics	Sailing	6 metres, Open	Olympic	Ali-Baba II	3	Bronze	Sweden
Karl-Robert Ameln	Male	1919	1952 Summer Olympics	Sailing	6 metres, Open	Olympic	May Be VII	4		Sweden
Eldad Amir	Male	1961	1984 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Yoel Sela	8		Israel
Eldad Amir	Male	1961	1988 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Yoel Sela	4		Israel
Eldad Amir	Male	1961	1992 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Yoel Sela	20		Israel
James Amos	Male	1936	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Bermuda	13		Bermuda
Rolf Amrein	Male	1929	1968 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Edwin Bernet	8		Switzerland
Rolf Amrein	Male	1929	1972 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Edwin Bernet	14		Switzerland
Arild Amundsen	Male	1910	1960 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Lett	4		Norway
Roger Anciaux	Male	1919	1948 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Dolfijn	12		Belgium
Benny Andersen	Male	1963	1992 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Mogens Just	9		Denmark
Jan Eli Andersen	Male	1966	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	6		Denmark
Jacob Andersen	Male	1892	1928 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		7		Denmark
Thomas Andersen	Male	1961	1984 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	12		Denmark
Scott Anderson	Male	1954	1984 Summer Olympics	Sailing	Multihull, Open	Olympic	Christopher Cairns	3	Bronze	Australia
Paul Anderson	Male	1935	1968 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Great Britain	3	Bronze	Great Britain
Matt Anderson	Male	1968	1996 Summer Olympics	Sailing	Windsurfer, Men	Olympic		35		Puerto Rico
John Anderson	Male	1939	1972 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	David Forbes	1	Gold	Australia
John Anderson	Male	1939	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Australia	11		Australia
Tom Anderson	Male	1939	1968 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Australia	5		Australia
Tom Anderson	Male	1939	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Australia	1	Gold	Australia
Göran Andersson	Male	1939	1960 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		28		Sweden
Göran Andersson	Male	1956	1980 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Sweden	8		Sweden
Reine Andersson	Male	1945	1976 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Stefan Sjöström	10		Sweden
Georgios Andreadis	Male	1941	1968 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Stavros Psarrakis	22		Greece
Georgios Andreadis	Male	1941	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Greece	14		Greece
Cyril Andresen	Male	1929	1956 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Tip	2	Silver	Denmark
Art Andrew	Male	1931	1976 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		27		United States Virgin Islands
Don Andrews	Male	1947	1972 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Canada	15		Canada
Curt Andstén	Male	1881	1912 Summer Olympics	Sailing	8 metres, Open	Olympic	Örn	4		Finland
Jarl Andstén	Male	1884	1912 Summer Olympics	Sailing	8 metres, Open	Olympic	Örn	4		Finland
Dietz Angerer	Male	1904	1936 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		15		Austria
Félix Anglada	Male	1949	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Spain	12		Spain
Yury Anisimov	Male	1938	1968 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Soviet Union	11		Soviet Union
Erik Anker	Male	1903	1928 Summer Olympics	Sailing	6 metres, Open	Olympic	Norna	1	Gold	Norway
Johan Anker	Male	1871	1908 Summer Olympics	Sailing	8 metres, Open	Olympic	Fram	4		Norway
Johan Anker	Male	1871	1912 Summer Olympics	Sailing	12 metres, Open	Olympic	Magda IX	1	Gold	Norway
Johan Anker	Male	1871	1928 Summer Olympics	Sailing	6 metres, Open	Olympic	Norna	1	Gold	Norway
Héber Ansorena	Male	1955	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Uruguay	16		Uruguay
Francisco Mourão	Male	1954	1976 Summer Olympics	Sailing	Two Person Dinghy, Open	Olympic	Joaquim Ramada	21		Portugal
Edson de Araújo Junior	Male	1969	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	21		Brazil
Pierre Arbaji	Male		1960 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		35		Lebanon
Pierre Arbaut	Male	1876	1936 Summer Olympics	Sailing	8 metres, Open	Olympic	EA II	9		France
Prateep Areerob	Male	1924	1964 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Linglom	22		Thailand
Adrian Arendt	Male	1952	1980 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Mircea Carp	13		Romania
Charles Archer Arentz	Male	1878	1920 Summer Olympics	Sailing	10 metres, Open	Olympic	Mosk II	1	Gold	Norway
Luc Argand	Male	1948	1972 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Jean Degaudenzi	20		Switzerland
Tor Arneberg	Male	1928	1952 Summer Olympics	Sailing	6 metres, Open	Olympic	Elisabeth X	2	Silver	Norway
Matthew Arneborg	Male	1970	1988 Summer Olympics	Sailing	Windsurfer, Open	Olympic		29		British Virgin Islands
Erdoğan Arsal	Male	1933	1964 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Metin Akdurak	20		Turkey
José María, Count de Arteche	Male	1905	1928 Summer Olympics	Sailing	6 metres, Open	Olympic	Fruits	13		Spain
Henri Arthus	Male	1872	1908 Summer Olympics	Sailing	6 metres, Open	Olympic	Guyoni	3	Bronze	France
Ryo Asano	Male	1963	1988 Summer Olympics	Sailing	Windsurfer, Open	Olympic		18		Japan
Teodorico Asejo	Male	1964	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Philippines	24		Philippines
Temple Ashbrook	Male	1896	1932 Summer Olympics	Sailing	6 metres, Open	Olympic	Gallant	2	Silver	United States
David Ashby	Male	1938	1984 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		26		Fiji
David Ashby	Male	1938	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Fiji	19		Fiji
Robert Aspin	Male	1872	1908 Summer Olympics	Sailing	12 metres, Open	Olympic	Hera	1	Gold	Great Britain
Gunnar Asther	Male	1892	1932 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Dan Sundén-Cullberg	3	Bronze	Sweden
Glenn Astwood	Male	1954	1988 Summer Olympics	Sailing	Multihull, Open	Olympic	Eddie Bardgett	18		Bermuda
Yehuda Atedji	Male	1961	1984 Summer Olympics	Sailing	Windsurfer, Men	Olympic		14		Israel
Jan Willen Aten	Male	1953	1972 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Jörg Bruder	4		Brazil
Peter Attrill	Male	1929	1952 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		22		Australia
Shane Atwell	Male	1970	1988 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		28		Barbados
Giorgio Audizio	Male	1911	1948 Summer Olympics	Sailing	6 metres, Open	Olympic	Ciocca II	8		Italy
Giorgio Audizio	Male	1911	1952 Summer Olympics	Sailing	5.5 metres, Open	Olympic	Mirtala	10		Italy
Michel Audoin	Male	1957	1984 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	France	14		France
Michel Auréglia	Male	1912	1952 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Victor de Sigaldi	21		Monaco
Otto Aust	Male	1892	1912 Summer Olympics	Sailing	6 metres, Open	Olympic	Kerstin	3	Bronze	Sweden
Carl Auteried	Male	1914	1960 Summer Olympics	Sailing	Two Person Heavyweight Dinghy, Open	Olympic	Harald Fereberger	17		Austria
Halit Haluk Babacan	Male	1966	1988 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		24		Turkey
Henri Bachet	Male	1906	1936 Summer Olympics	Sailing	8 metres, Open	Olympic	EA II	9		France
Walter Bachmann	Male	1949	1972 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		17		Switzerland
Ron Backus	Male	1922	1956 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Bluebottle	3	Bronze	Great Britain
Klaus Baess	Male	1924	1948 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Snap	3	Bronze	Denmark
Shai Bachar	Male	1969	1992 Summer Olympics	Sailing	Two Person Dinghy, Men	Olympic	Erez Shemesh	9		Israel
Manuel Baiget	Male	1945	1968 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Spain	21		Spain
Michael Baker-Harber	Male	1945	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Great Britain	13		Great Britain
Geert Bakker	Male	1921	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Netherlands	5		Netherlands
Geert Bakker	Male	1921	1980 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Netherlands	5		Netherlands
Steven Bakker	Male	1949	1980 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Netherlands	5		Netherlands
Steven Bakker	Male	1949	1988 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Kobus Vandenberg	9		Netherlands
Andrey Balashov	Male	1946	1976 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		2	Silver	Soviet Union
Andrey Balashov	Male	1946	1980 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		3	Bronze	Soviet Union
Ramón Balcells	Male	1951	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Spain	9		Spain
Ramón Balcells Rodón	Male	1919	1952 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		10		Spain
Ramón Balcells Rodón	Male	1919	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Spain	9		Spain
Valdas Balčiūnas	Male	1969	1992 Summer Olympics	Sailing	Two Person Dinghy, Men	Olympic	Raimondas Šiugždinis	32		Lithuania
Pepote	Male	1968	1992 Summer Olympics	Sailing	Multihull, Open	Olympic	Carlos Santacreu	12		Spain
Pepote	Male	1968	1996 Summer Olympics	Sailing	Multihull, Open	Olympic	Fernando León	1	Gold	Spain
Pepote	Male	1968	2000 Summer Olympics	Sailing	Multihull, Open	Olympic	Fernando León	9		Spain
Alex Bally	Male	1942	1968 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		16		Switzerland
Valdemar Bandolowski	Male	1946	1972 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	13		Denmark
Valdemar Bandolowski	Male	1946	1976 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	1	Gold	Denmark
Valdemar Bandolowski	Male	1946	1980 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	1	Gold	Denmark
Jesper Bank	Male	1957	1984 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	12		Denmark
Jesper Bank	Male	1957	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	3	Bronze	Denmark
Jesper Bank	Male	1957	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	1	Gold	Denmark
Jesper Bank	Male	1957	2000 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Denmark	1	Gold	Denmark
Bruce Banks	Male	1918	1952 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Stanley Potter	13		Great Britain
Bruce Banks	Male	1918	1956 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Stanley Potter	7		Great Britain
Juan Barahona	Male	1961	1984 Summer Olympics	Sailing	Two Person Dinghy, Open	Olympic	Alberto González	18		Chile
Jonathan Barbe	Male	1977	1996 Summer Olympics	Sailing	Windsurfer, Men	Olympic		44		Seychelles
Jonathan Barbe	Male	1977	2000 Summer Olympics	Sailing	Windsurfer, Men	Olympic		35		Seychelles
José Augusto Dias	Male	1959	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	5		Brazil
José Augusto Dias	Male	1959	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	13		Brazil
José Paulo Dias	Male	1957	1988 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	5		Brazil
José Paulo Dias	Male	1957	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Brazil	13		Brazil
Eddie Bardgett	Male	1955	1988 Summer Olympics	Sailing	Multihull, Open	Olympic	Glenn Astwood	18		Bermuda
Hakon Barfod	Male	1926	1948 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Pan	1	Gold	Norway
Hakon Barfod	Male	1926	1952 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Pan	1	Gold	Norway
Keith Barker	Male	1959	1984 Summer Olympics	Sailing	Two Person Dinghy, Open	Olympic	Peter Barker	25		British Virgin Islands
Peter Barker	Male	1955	1984 Summer Olympics	Sailing	Two Person Dinghy, Open	Olympic	Keith Barker	25		British Virgin Islands
Johan Barne	Male	1964	1992 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Sweden	5		Sweden
Johan Barne	Male	1964	1996 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Sweden	13		Sweden
Johan Barne	Male	1964	2000 Summer Olympics	Sailing	Three Person Keelboat, Open	Olympic	Sweden	7		Sweden
Nuno Barreto	Male	1972	1996 Summer Olympics	Sailing	Two Person Dinghy, Men	Olympic	Hugo Rocha	3	Bronze	Portugal
Nuno Barreto	Male	1972	2000 Summer Olympics	Sailing	Multihull, Open	Olympic	Hugo Rocha	16		Portugal
Nuno Barreto	Male	1972	2004 Summer Olympics	Sailing	Multihull, Open	Olympic	Diogo Cayolla	16		Portugal
Peter Barrett	Male	1935	1960 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		11		United States
Peter Barrett	Male	1935	1964 Summer Olympics	Sailing	One Person Dinghy, Open	Olympic		2	Silver	United States
Peter Barrett	Male	1935	1968 Summer Olympics	Sailing	Two Person Keelboat, Open	Olympic	Lowell North	1	Gold	United States
